,TEXT
88,　　2017-05-2620:03:55　　你个二B就是体制内的，现在养老金不够发了，就故意挑拨交社保的和农民的矛盾，转移视线，你自己看，除了我回复你还有几个人鸟你。故意把事情复杂化，弄些什么一般人弄不懂的概念，既然是农民福利，你非要弄个农村养老保障干毛呀！你去问档吧！　　-----------------------------　　你这种傻逼真想和其他人员一样领到退休金，你还是乖乖地去缴社保基金吧。　　否则，你这种眼红人家能领退休金的，只能眼红。　　现在难道不允许农民参加社保基金吗？
89,　　你有意见找你大大呀！政策农民制定的？？　　
90,　　2017-05-2620:12:54　　记住，所有政策制定没农民鸟事。农民没有发言权。　　-----------------------------　　我应问你一个问题，城镇户口的人，不参加社保基金养老，也能领到退休金吗？
91,　　2017-05-2620:28:03　　你有意见找你大大呀！政策农民制定的？？　　-----------------------------　　我没有意见。　　如果国家财政允许，给农民发10000000元每月的福利我都没有意见。　　傻逼难道不明白吗？还需要我说多少遍？
92,　　2017-05-2620:23:28　　在中国，农民连吃瓜群众都算不上，就一看吃瓜群众吐瓜子捡瓜子的，捡一个总比没有好。　　-----------------------------　　你再怎么圣母，也无益于事情的解决。　　想当口炮圣母，我比你的水平高，我赞同每月给老年农民发10000万的福利，我比你当圣母彻底吧？
93,　　2017-05-2620:28:03　　-----------------------------　　社保基金的亏空，是因为老龄社会的到来等因素造成的。　　比如，当年8个工作的劳动力养活1个退休人员，每人拿出其报酬的10%就可以保障退休人员的生活。　　而现在假设需要3个工作的劳动力养活一个退休人员，这些工作的人需要至少拿出27%才能保障退休人员的生活。
94,　　那现在档提高缴费标准，推迟就应该的了，你叽叽歪歪叫唤着农民什么事。　　
95,　　你有意见去那贴反博就是，开一帖子开口闭口农民什么的。我就看到不舒服，农民招你惹你了。　　
96,　　2017-05-2620:41:16　　那现在档提高缴费标准，推迟就应该的了，你叽叽歪歪叫唤着农民什么事。　　-----------------------------　　傻缺的智商真的没救了。　　我这个帖子是反驳那位抱怨自己父母为什么只领95元，而羡慕别人能领退休金呢
97,　　2017-05-2620:47:35　　你有意见去那贴反博就是，开一帖子开口闭口农民什么的。我就看到不舒服，农民招你惹你了。　　-----------------------------　　傻缺没眼睛，我的主帖就把他的帖子贴出来了，并且把他的链接也发出来了。　　真是弱智的可笑。
98,　　你傻B直接去那楼呀！关农民鸟事！　　
99,　　老子就看标题了，内容那么长，不想看。　　
100,　　@洞庭湖畔唱渔歌2017-05-2620:50:41　　你傻B直接去那楼呀！关农民鸟事！　　-----------------------------　　老子开帖反驳他，关你个杂碎什么事？　　你以为你就代表农民？我的许多亲人都是农民，你以为你就是农民利益的天然代表？
101,　　你个二B那就不要开口闭口农民的　　
102,　　@洞庭湖畔唱渔歌2017-05-2620:51:59　　老子就看标题了，内容那么长，不想看。　　-----------------------------　　老子不仅代表着那些缴纳社保基金的企业职工利益，也代表着缴纳社保基金的农民工利益呢。如果都如你这种傻逼的逻辑，社保基金根本维持不下去，参保的8亿多人将来都会没有钱养老。
103,　　@洞庭湖畔唱渔歌2017-05-2620:56:21　　你个二B那就不要开口闭口农民的　　-----------------------------　　你这杂碎，他以他父母是老年农民，抱怨给的95元太少。为什么不能说农民？说农民就是污辱农民？
104,　　你个二B开口闭口农民，有人鸟你么，老子就给你刷帖子了　　
105,　　你个二货，你不知道改开前农民除了要交的，养一头猪，等杀的时候就剩下猪头猪下水，现在老了拿一样的也不过份。　　
106,　　难道改开前辛苦养的一头猪当不了九十年代每月交的十五块钱　　
107,　　更何况与养猪农民同时期的工人也没缴过一分社保，社保是九十年代才开始缴的。　　
108,　　在我看来社会福利和退休金是二回事。　　比如香港，就算你没有交有强积金，香港一到岁数，香港政府都会每个月给一笔福利金给老人，好像香港人俗称生果金，这些钱也就只够一个月买生果用。1000+港币。现在不知多少，　　退休金是你工作时强性交的，香港好像叫强积金。　　福利是你作为这个社会一份子，到了一定年龄就应改得到的一种福利，这是作为一个负责任的国家基本要做的。相信任何一个守法的人，一生在世多少会这社会有贡献。　　有些人，总说你在这个国家又没有交过税这种脑残，哪么多要求的，就不争论了。
109,　　还有楼主，我觉得你这标题就错了　　福利和退休金在我看来不是一回事。
110,　　楼主解释下，公务猿超高退休金怎么不喷？他们有缴纳过吗？都为国家做贡献人分369等，农民解放后一直被盘剥，国家补偿过吗？　　
111,　　@郁郁芊芊2017-05-2514:06:02　　建议取消养老金制度。养儿防老才是最公平的。　　-----------------------------　　@风过耳畔2017-05-2514:12:15　　看一下美国人领的退休金就可以知道：　　1、你拿到的钱是你工作时的贡献结果；　　2、贡献越多，你领的越多；　　3、领的越晚，你领的越多。　　4、美国退休年龄是67岁，许多人为了多拿退休金，不让退休后的生活质量下降严重，许多选择70多岁退休。甚至有一位二战老兵，在他85岁仍当校车司机。　　-----------------------------　　问题是在中国，有些私营企业主交的税不少，但是为什么还是没有退休金呢？
112,　　@洞庭湖畔唱渔歌2017-05-2514:41:59　　你他娘搞清农民反补工业的历史再说　　-----------------------------　　@风过耳畔2017-05-2514:45:41　　你他娘的，我再问你一个问题。　　养老金的制度是，当年年富力强的时候，工作的人为养老社保基金做贡献，往这个池子投了钱，他们才有资格在退休后拿到养老金。　　如果大家都不用缴纳社保基金，一样可以领到养老金，你以为大家和你一样弱智，还会继续为社保基金贡献？　　没有了大家贡献热情，你这个杂碎上哪儿有钱给大家发养老金？　　-----------------------------　　楼主不要着急啊。我们是收取间接税的也就是每个人只要买东西就交税了哈。实在不行大家散去自己养活自己很简单啊20年前的几千年前就这样啊有啥复杂的哈？
113,　　楼主脑残，开帖就是我一个人在反驳，说来说去都是档的问题，现在全部推在农民身上。难道建国后最大收益的是农民。是经济发展了，档的管理水平还停留在传统思想的起点，现在反而怪到农民头上了，你档建国几十年了根据每年出生率就不知道以后的养老问题，我不相信执政者是脑残是不为也！　　
114,　　大不了回到封建社会，养儿防老，档也不要管生几胎　　
115,　　@郁郁芊芊2017-05-2514:06:02　　建议取消养老金制度。养儿防老才是最公平的。　　-----------------------------　　@风过耳畔2017-05-2514:12:15　　看一下美国人领的退休金就可以知道：　　1、你拿到的钱是你工作时的贡献结果；　　2、贡献越多，你领的越多；　　3、领的越晚，你领的越多。　　4、美国退休年龄是67岁，许多人为了多拿退休金，不让退休后的生活质量下降严重，许多选择70多岁退休。甚至有一位二战老兵，在他85岁仍当校车司机。　　-----------------------------　　@贾雨村442017-05-2622:37:46　　问题是在中国，有些私营企业主交的税不少，但是为什么还是没有退休金呢？　　-----------------------------　　私营企业主缴税和缴社保基金不是一个概念。　　弄懂了这个基本概念再说吧。
116,　　@风过耳畔2017-05-2513:42:07　　现在农村老人有两样补助，一是低保，一是高龄补助，那个95元不是退休金，应该是高龄补助。　　-----------------------------　　你完全说错了，其实你是司马昭之心，恐怕少了自己的养老金。　　低保是对农村生活困难的救助；95元是新型农村养老保险，当然和城镇职工养老保险分立。　　可别提那个高龄补助了。其实就是农民存钱给点利息。村支书广播里喊了：每个70十岁老人，儿女每季度给交300元，然后这个老人每月可以领到120元。这个老人儿女如果不交，就会背上不孝的骂名。其实就是变相集资。
117,　　@海沙虫20132017-05-2622:31:57　　楼主解释下，公务猿超高退休金怎么不喷？他们有缴纳过吗？都为国家做贡献人分369等，农民解放后一直被盘剥，国家补偿过吗？　　-----------------------------　　再仔细看帖子，别无脑地喷。。　　智商补一点值如何？
118,　　@风过耳畔2017-05-2513:42:07　　现在农村老人有两样补助，一是低保，一是高龄补助，那个95元不是退休金，应该是高龄补助。　　-----------------------------　　@家电维修技术论坛2017-05-2710:15:21　　你完全说错了，其实你是司马昭之心，恐怕少了自己的养老金。　　低保是对农村生活困难的救助；95元是新型农村养老保险，当然和城镇职工养老保险分立。　　可别提那个高龄补助了。其实就是农民存钱给点利息。村支书广播里喊了：每个70十岁老人，儿女每季度给交300元，然后这个老人每月可以领到120元。这个老人儿女如果不交，就会背上不孝的骂名。其实就是变相集资。　　......　　-----------------------------　　不知道你那儿的什么情况，我一分钱没有存，我的母亲每月都能领到钱。　　其实我也愿意这种变相集资哟。　　一年存1200元，父母每年可以领到1440元。并且存的这1200元将来还返给你，你们那儿还有这么高的存款利息吗？我存个10万8万的，我就不用工作了。
119,　　@洞庭湖畔唱渔歌2017-05-2514:41:59　　你他娘搞清农民反补工业的历史再说　　-----------------------------　　@风过耳畔2017-05-2514:45:41　　你他娘的，我再问你一个问题。　　养老金的制度是，当年年富力强的时候，工作的人为养老社保基金做贡献，往这个池子投了钱，他们才有资格在退休后拿到养老金。　　如果大家都不用缴纳社保基金，一样可以领到养老金，你以为大家和你一样弱智，还会继续为社保基金贡献？　　没有了大家贡献热情，你这个杂碎上哪儿有钱给大家发养老金？　　-----------------------------　　@rollaswold2017-05-2622:44:38　　楼主不要着急啊。我们是收取间接税的也就是每个人只要买东西就交税了哈。实在不行大家散去自己养活自己很简单啊20年前的几千年前就这样啊有啥复杂的哈？　　-----------------------------　　缴税和缴社保基金不是一个概念。　　能弄懂这个基本概念吗？
120,　　@风过耳畔2017-05-2513:42:07　　现在农村老人有两样补助，一是低保，一是高龄补助，那个95元不是退休金，应该是高龄补助。　　-----------------------------　　@家电维修技术论坛2017-05-2710:15:21　　你完全说错了，其实你是司马昭之心，恐怕少了自己的养老金。　　低保是对农村生活困难的救助；95元是新型农村养老保险，当然和城镇职工养老保险分立。　　可别提那个高龄补助了。其实就是农民存钱给点利息。村支书广播里喊了：每个70十岁老人，儿女每季度给交300元，然后这个老人每月可以领到120元。这个老人儿女如果不交，就会背上不孝的骂名。其实就是变相集资。　　......　　-----------------------------　　你给你们村支书商量一下，能不能存12万，每年领14400元的利息，我准备存一点，可以吗？
121,　　@风过耳畔2017-05-2513:42:07　　现在农村老人有两样补助，一是低保，一是高龄补助，那个95元不是退休金，应该是高龄补助。　　-----------------------------　　@家电维修技术论坛2017-05-2710:15:21　　你完全说错了，其实你是司马昭之心，恐怕少了自己的养老金。　　低保是对农村生活困难的救助；95元是新型农村养老保险，当然和城镇职工养老保险分立。　　可别提那个高龄补助了。其实就是农民存钱给点利息。村支书广播里喊了：每个70十岁老人，儿女每季度给交300元，然后这个老人每月可以领到120元。这个老人儿女如果不交，就会背上不孝的骂名。其实就是变相集资。　　......　　-----------------------------　　@风过耳畔2017-05-2710:27:55　　你给你们村支书商量一下，能不能存12万，每年领14400元的利息，我准备存一点，可以吗？　　-----------------------------　　想得美！你还想每年存120万，每年144000元的利息。想多没有
122,　　@风过耳畔2017-05-2513:42:07　　现在农村老人有两样补助，一是低保，一是高龄补助，那个95元不是退休金，应该是高龄补助。　　-----------------------------　　@家电维修技术论坛2017-05-2710:15:21　　你完全说错了，其实你是司马昭之心，恐怕少了自己的养老金。　　低保是对农村生活困难的救助；95元是新型农村养老保险，当然和城镇职工养老保险分立。　　可别提那个高龄补助了。其实就是农民存钱给点利息。村支书广播里喊了：每个70十岁老人，儿女每季度给交300元，然后这个老人每月可以领到120元。这个老人儿女如果不交，就会背上不孝的骂名。其实就是变相集资。　　......　　-----------------------------　　@风过耳畔2017-05-2710:27:55　　你给你们村支书商量一下，能不能存12万，每年领14400元的利息，我准备存一点，可以吗？　　-----------------------------　　@家电维修技术论坛2017-05-2710:45:56　　想得美！你还想每年存120万，每年144000元的利息。想多没有　　-----------------------------　　既然你认为是吃亏的事，为什么不放开呢？　　我这种想吃这种亏的，为什么不给我机会呢？　　你所说的1200元不返还给你，你们的村支书是以什么理由要的这个钱？
123,　　@风过耳畔2017-05-2513:42:07　　现在农村老人有两样补助，一是低保，一是高龄补助，那个95元不是退休金，应该是高龄补助。　　-----------------------------　　@家电维修技术论坛2017-05-2710:15:21　　你完全说错了，其实你是司马昭之心，恐怕少了自己的养老金。　　低保是对农村生活困难的救助；95元是新型农村养老保险，当然和城镇职工养老保险分立。　　可别提那个高龄补助了。其实就是农民存钱给点利息。村支书广播里喊了：每个70十岁老人，儿女每季度给交300元，然后这个老人每月可以领到120元。这个老人儿女如果不交，就会背上不孝的骂名。其实就是变相集资。　　......　　-----------------------------　　@风过耳畔2017-05-2710:27:55　　你给你们村支书商量一下，能不能存12万，每年领14400元的利息，我准备存一点，可以吗？　　-----------------------------　　@家电维修技术论坛2017-05-2710:45:56　　想得美！你还想每年存120万，每年144000元的利息。想多没有　　-----------------------------　　@风过耳畔2017-05-2710:48:53　　既然你认为是吃亏的事，为什么不放开呢？　　我这种想吃这种亏的，为什么不给我机会呢？　　你所说的1200元不返还给你，你们的村支书是以什么理由要的这个钱？　　-----------------------------　　@家电维修技术论坛2017-05-2710:52:28　　你不是农民吧？你没资格赚这小便宜！　　-----------------------------　　我母亲是。　　如果放开还真不是小便宜，你告诉我，现在做什么生意每年有稳定的100%多的收益？
124,　　.
125,　　@风过耳畔2017-05-2513:42:07　　现在农村老人有两样补助，一是低保，一是高龄补助，那个95元不是退休金，应该是高龄补助。　　-----------------------------　　@家电维修技术论坛2017-05-2710:15:21　　你完全说错了，其实你是司马昭之心，恐怕少了自己的养老金。　　低保是对农村生活困难的救助；95元是新型农村养老保险，当然和城镇职工养老保险分立。　　可别提那个高龄补助了。其实就是农民存钱给点利息。村支书广播里喊了：每个70十岁老人，儿女每季度给交300元，然后这个老人每月可以领到120元。这个老人儿女如果不交，就会背上不孝的骂名。其实就是变相集资。　　......　　-----------------------------　　@风过耳畔2017-05-2710:27:55　　你给你们村支书商量一下，能不能存12万，每年领14400元的利息，我准备存一点，可以吗？　　-----------------------------　　@家电维修技术论坛2017-05-2710:45:56　　想得美！你还想每年存120万，每年144000元的利息。想多没有　　-----------------------------　　@风过耳畔2017-05-2710:48:53　　既然你认为是吃亏的事，为什么不放开呢？　　我这种想吃这种亏的，为什么不给我机会呢？　　你所说的1200元不返还给你，你们的村支书是以什么理由要的这个钱？　　-----------------------------　　@家电维修技术论坛2017-05-2710:52:28　　你不是农民吧？你没资格赚这小便宜！　　-----------------------------　　@风过耳畔2017-05-2710:59:32　　我母亲是。　　如果放开还真不是小便宜，你告诉我，现在做什么生意每年有稳定的100%多的收益？　　-----------------------------　　放开你能得多少？每年你给老人交1200，得到1440元。如果你想存款得到这么高的利息，那银行就是傻子开的，或者人民币就是擦屁股纸。
126,　　交养老保险的钱太多了
127,　　话说公积金也亏空吗　　
128,　　不管是农村还是城市，老人和弱者都应该受到一定程度的保护和关怀，但不应该从社保、医保中出。这是典型的劫贫济贫，考虑到如果不从社保而必须从其他税种中来，等于从社保医保中为这部分人保障，这种行为等于是劫贫济富。。。。
129,　　是毛主席让我们的父母领到了退休金，有尊严的活着！而我们的未来十分黑暗
130,　　农民为国家做的贡献不亚于解放战争的作用，在杂交水稻，化肥应用没出来前，粮食产量低到你们不敢想象，自己饿着肚子也要把公粮给上交，是无偿上交，你会说当时是土地的租金，可城市户口当时是有工作安排的，没有农民的贡献就没有后来的改革开放，他们对国家的贡献不能被你们这些脑残抹灭，他们现在拿着每月100块不到的钱，还要让你们说三道四，太无耻了
131,　　@hym03092017-05-2815:39:20　　农民为国家做的贡献不亚于解放战争的作用，在杂交水稻，化肥应用没出来前，粮食产量低到你们不敢想象，自己饿着肚子也要把公粮给上交，是无偿上交，你会说当时是土地的租金，可城市户口当时是有工作安排的，没有农民的贡献就没有后来的改革开放，他们对国家的贡献不能被你们这些脑残抹灭，他们现在拿着每月100块不到的钱，还要让你们说三道四，太无耻了　　-----------------------------　　没说他们不该拿这100元钱。　　是那位网友不该眼给那些在社保基金里拿退休工资的。
132,　　在那个帖子，竟然还有人说现在退休人员拿着高额的退休工资这样的话，笑得我差点吐他一脸。说这样话的人，真该滚回去问问它家拿退休金的人，真太丢脸了
133,　　—打酱油啦啦
134,　　@郁郁芊芊2017-05-2514:06:02　　建议取消养老金制度。养儿防老才是最公平的。　　-----------------------------　　@风过耳畔2017-05-2514:12:15　　看一下美国人领的退休金就可以知道：　　1、你拿到的钱是你工作时的贡献结果；　　2、贡献越多，你领的越多；　　3、领的越晚，你领的越多。　　4、美国退休年龄是67岁，许多人为了多拿退休金，不让退休后的生活质量下降严重，许多选择70多岁退休。甚至有一位二战老兵，在他85岁仍当校车司机。　　-----------------------------　　中国85岁还想开车？
135,　　楼主越战越勇，勇气可嘉。可惜和有些人辩论确实会拉低你的智商。
136,　　农民的养老金是我们农民自己要求给的吗？。是国家硬给的好不好。我们没强制国家给啊。　　
137,　　想不劳而获的人不少
138,　　没交钱的吃交了钱的，这不是混账无耻吗？
139,　　@风过耳畔2017-05-2513:51:37　　美国普通民众的退休金是SocialSecurityRetirementBenefits（社保退休福利），平时工作要交社保税，个人交收入的6.20%，公司也交同样的比例，如果是自雇的话，个人要交12.40%。　　美国现在正常退休年龄是66岁，但1960年后出生的是67岁。获取退休金必须积攒40点，每1130收入算一点，但每年最多四点，这样至少要工作十年。如果配偶不工作或不符合工作年限要求，也可以领取少量退休金。如果配偶死亡，配偶对方（必须到退休......　　-----------------------------　　这是国家体制的问题，钱都哪去了？给百姓造福应是国家财政出钱而不应该让老百姓原本可怜的一点退休费再额外分出去一部分，这是不公平不讲道理的做法。全民福利是一个国家真正造福百姓能够做到多少？让百姓信服，拥护？
140,　　@郁郁芊芊2017-05-2514:06:02　　建议取消养老金制度。养儿防老才是最公平的。　　-----------------------------　　@风过耳畔2017-05-2514:12:15　　看一下美国人领的退休金就可以知道：　　1、你拿到的钱是你工作时的贡献结果；　　2、贡献越多，你领的越多；　　3、领的越晚，你领的越多。　　4、美国退休年龄是67岁，许多人为了多拿退休金，不让退休后的生活质量下降严重，许多选择70多岁退休。甚至有一位二战老兵，在他85岁仍当校车司机。　　-----------------------------　　@贾雨村442017-05-2622:37:46　　问题是在中国，有些私营企业主交的税不少，但是为什么还是没有退休金呢？　　-----------------------------　　因为他没交社保，事实上这是个伪命题，舍得交税，还不给自己交社保？傻了吧，一般老板们都是既交社保又买商业保险的
141,　　其实，与其说农民没有养老金，不过喷广大公务员们不交社保，反而养老金还比工人拿得高这一现状，这才是最不要脸的
142,　　养老保险是作为社会主义国家的居民共享社会发展成果，保证社会稳定的要素，是我党我国对人民的承诺，理应大家给于肯定。至于金额，现在确实过少，才开始时50元，增长太慢，近些年全国整体发展还不错，理应加多点
143,　　@风过耳畔2017-05-2513:51:37　　美国普通民众的退休金是SocialSecurityRetirementBenefits（社保退休福利），平时工作要交社保税，个人交收入的6.20%，公司也交同样的比例，如果是自雇的话，个人要交12.40%。　　美国现在正常退休年龄是66岁，但1960年后出生的是67岁。获取退休金必须积攒40点，每1130收入算一点，但每年最多四点，这样至少要工作十年。如果配偶不工作或不符合工作年限要求，也可以领取少量退休金。如果配偶死亡，配偶对方（必须到退休......　　-----------------------------　　关键在于--你不交社保，就没有医保！！！
144,　　@洞庭湖畔唱渔歌2017-05-2514:27:05　　神经病，解放后没有农民的劳动，你祖宗都饿死了。　　-----------------------------　　逗逼
145,　　以前单位上班的工人也没缴纳养老保险，工人也是，大集体时农民挣公分，以及后来的缴公粮，对六七十或者七八十岁的农村老人，一个月给几十块钱有些人还那么多意见也是真醉了。
146,　　@停电的夜2017-05-2816:17:28　　想不劳而获的人不少　　-----------------------------　　你爷爷生下一堆农民工进城打工，这算不算贡献？或者你爸爸生下你这外来工，进城写PPT，为城市创造GDP，这不算贡献？
147,　　交就交，都为国家做贡献。
148,　　你说这话好像农民占了什么便宜似的，我想说麻痹的农业税零六年才取消，农民付出的不比你们少，喷也要找好对象，养老的缺口是国家公职人员造成的，那些以前不缴，反而领高退休金的人
149,　　楼主，天朝的养老是和医疗綑绑在一起的　　不然就早亏得千疮百孔的养老基金早完蛋了
150,　　国家公职人员造成的，那些以前不缴，反而领高退休金的人
151,　　怎么都是楼主自言自语
152,　　以后还不知道政策如何变化呢
153,　　农民有粮食吃死不了就行还奢求养老金年轻是没有什么贡献还要养老金
154,　　本来自己交自己的社保，老了以后自己领自己的社保，现在变成要靠后人交钱给退休的人养老，中间被挪用的哪去了？　　好好的社会福利制度，被搞成庞氏骗局，应不应该追责？　　现在很多人转移问题焦点，把社保被挪用的问题，改成后人养前人，哪些前人更有资格养老的问题，手段不是一般的下作
155,　　农民每月领的几十元钱也不是政府给的。而是农民子女缴的。子女不缴的，父母也无法领取。新农保政府是不赔钱的，还略有节余。　　
156,　　凭心而论，现在的农民比以前的好很多了，有田地可以分，自己不种可以租给别人，每年收些租金。自己又可以找工作或者做老板。感觉现在城市下岗、失业、待业者比起现在的农民，生活压力大太多了。
157,　　@打枪换地方2017-05-2819:13:16　　本来自己交自己的社保，老了以后自己领自己的社保，现在变成要靠后人交钱给退休的人养老，中间被挪用的哪去了？　　好好的社会福利制度，被搞成庞氏骗局，应不应该追责？　　现在很多人转移问题焦点，把社保被挪用的问题，改成后人养前人，哪些前人更有资格养老的问题，手段不是一般的下作　　-----------------------------　　中间的钱都变成了中国石油、中国移动、国家电网、收费公路，拿你的养老钱去投资，但是这些公司和你没有一分钱的关系。
158,　　楼主说的对。拿农村95元福利金当退休金是错误的。你要领退休金，必须在你年轻时缴纳养老费。　　另外，中国公务员退休金畸高是决策者人为造成的。完全是当官的为自己利益，假借改革之名制造的。
159,　　可怜我每个个各三四百，我的养老保险才200
160,　　建议取消养老金制度。养儿防老才是最公平的。
161,　　@打枪换地方2017-05-2819:13:16　　本来自己交自己的社保，老了以后自己领自己的社保，现在变成要靠后人交钱给退休的人养老，中间被挪用的哪去了？　　好好的社会福利制度，被搞成庞氏骗局，应不应该追责？　　现在很多人转移问题焦点，把社保被挪用的问题，改成后人养前人，哪些前人更有资格养老的问题，手段不是一般的下作　　-----------------------------　　@围观群众来打酱油2017-05-2819:49:19　　中间的钱都变成了中国石油、中国移动、国家电网、收费公路，拿你的养老钱去投资，但是这些公司和你没有一分钱的关系。　　-----------------------------　　这个才是问题的关键，法律不完善，社保资金随便乱用乱投，亏了不追责，赚了被挪用，看看数据，社保资金的收益，居然还赶不上银行定期利息，你说社保局掌管资金的那帮人，有多万恶？
162,　　@打枪换地方2017-05-2819:13:16　　本来自己交自己的社保，老了以后自己领自己的社保，现在变成要靠后人交钱给退休的人养老，中间被挪用的哪去了？　　好好的社会福利制度，被搞成庞氏骗局，应不应该追责？　　现在很多人转移问题焦点，把社保被挪用的问题，改成后人养前人，哪些前人更有资格养老的问题，手段不是一般的下作　　-----------------------------　　@围观群众来打酱油2017-05-2819:49:19　　中间的钱都变成了中国石油、中国移动、国家电网、收费公路，拿你的养老钱去投资，但是这些公司和你没有一分钱的关系。　　-----------------------------　　@打枪换地方2017-05-2820:43:44　　这个才是问题的关键，法律不完善，社保资金随便乱用乱投，亏了不追责，赚了被挪用，看看数据，社保资金的收益，居然还赶不上银行定期利息，你说社保局掌管资金的那帮人，有多万恶？　　-----------------------------　　王忠民：过去16年全国社保基金年化收益率约在8.4%　　http://finance.sina.com.cn/money/fund/jjyj/2017-05-08/doc-ifyeychk7138744.shtml　　说一下哪家的银行定期利息有这么高？
163,　　@打枪换地方2017-05-2819:13:16　　本来自己交自己的社保，老了以后自己领自己的社保，现在变成要靠后人交钱给退休的人养老，中间被挪用的哪去了？　　好好的社会福利制度，被搞成庞氏骗局，应不应该追责？　　现在很多人转移问题焦点，把社保被挪用的问题，改成后人养前人，哪些前人更有资格养老的问题，手段不是一般的下作　　-----------------------------　　@围观群众来打酱油2017-05-2819:49:19　　中间的钱都变成了中国石油、中国移动、国家电网、收费公路，拿你的养老钱去投资，但是这些公司和你没有一分钱的关系。　　-----------------------------　　@打枪换地方2017-05-2820:43:44　　这个才是问题的关键，法律不完善，社保资金随便乱用乱投，亏了不追责，赚了被挪用，看看数据，社保资金的收益，居然还赶不上银行定期利息，你说社保局掌管资金的那帮人，有多万恶？　　-----------------------------　　社保基金就是靠后人的钱来养老，因为世界上所有的纸币都是贬值的。　　比如20年前，中国人均工资300元，缴纳的社保基金撑天超不过100元，但现在他们退休了，发2000元每月的退休金，这些人不一定能保证最基本的养老保障。　　社保基金的养老模式只能是，当年他们缴纳了15元的社保基金，就能让当年的老年人退休后领取到基础保障养老的收入。那么现在，由新一代缴纳的社保基金，就应该给上一代人提供符合当前水平的退休金，否则，就失去了社保基金养老的意义，还不如让大家拿着投资社保基金的钱投资理财呢。
164,　　@洞庭湖畔唱渔歌　　------------------------------　　@风过耳畔2017-05-2617:35:10　　我给二傻子再举一个例子，让你明白这个问题的关键。　　比如我和我的十几个朋友合伙，买地建立了一个养老院，以便我们老了时候，能得到免费的养老保障。　　由于经营等情况，这个养老院经营的非常好，当我们老了时候，大家可以免费到这个养老院里养老。　　这时候，你一分钱没缴的，也要进这个养老院去养老，就因为你穷、你没有保障、你困难，我们这些人合伙投资的养老院，就得免费给你养老吗？　　-----------------------------　　等你老了想去养老院的时候，会告诉你由于经营的不好，以前的养老院已经倒闭了，还需要你重新拿钱出来办养老院。　　如果你不想拿，就没有保障，就会给社会造成负担，还会引起社会动乱，你就是汉奸，就是美狗、日杂。
165,　　@snu123582017-05-2819:15:02　　农民每月领的几十元钱也不是政府给的。而是农民子女缴的。子女不缴的，父母也无法领取。新农保政府是不赔钱的，还略有节余。　　-----------------------------　　我不知道，你们那儿是什么情况，我没有缴钱，你的母亲依然可以领到钱。　　不知道你们那儿所谓的农民子女缴的是什么名义的钱？
166,　　我妈几年前交了近5w，失地农民养老保险，交的时候已经是退休年纪了，所以交进去就好领了，开始的时候一个月1500，现在涨到1600了，我爸也是交了4W还多少，因为年纪没到还在继续交，今年也好领了。。各地政策不一样吧
167,　　@洞庭湖畔唱渔歌　　------------------------------　　@风过耳畔2017-05-2617:35:10　　我给二傻子再举一个例子，让你明白这个问题的关键。　　比如我和我的十几个朋友合伙，买地建立了一个养老院，以便我们老了时候，能得到免费的养老保障。　　由于经营等情况，这个养老院经营的非常好，当我们老了时候，大家可以免费到这个养老院里养老。　　这时候，你一分钱没缴的，也要进这个养老院去养老，就因为你穷、你没有保障、你困难，我们这些人合伙投资的养老院，就得免费给你养老吗？　　-----------------------------　　@围观群众来打酱油2017-05-2820:57:01　　等你老了想去养老院的时候，会告诉你由于经营的不好，以前的养老院已经倒闭了，还需要你重新拿钱出来办养老院。　　如果你不想拿，就没有保障，就会给社会造成负担，还会引起社会动乱，你就是汉奸，就是美狗、日杂。　　-----------------------------　　没看到你回复的逻辑在哪儿。　　现在社保基金的亏空，根本原因在于老年社会的到来。　　比如，当年8个劳动力养一个老年人，现在3个劳动力养一个老年人。　　比如美国的退休工资非常低，美国早就实行了67岁退休年龄，许多美国人为了不让退休严重影响生活质量，选择70岁退休，甚至有的工作到85岁。　　就是这样，美国养老基金亏损还是非常严重，有许多州已经达到破产的地步。
168,　　@洞庭湖畔唱渔歌　　------------------------------　　@风过耳畔2017-05-2617:35:10　　我给二傻子再举一个例子，让你明白这个问题的关键。　　比如我和我的十几个朋友合伙，买地建立了一个养老院，以便我们老了时候，能得到免费的养老保障。　　由于经营等情况，这个养老院经营的非常好，当我们老了时候，大家可以免费到这个养老院里养老。　　这时候，你一分钱没缴的，也要进这个养老院去养老，就因为你穷、你没有保障、你困难，我们这些人合伙投资的养老院，就得免费给你养老吗？　　-----------------------------　　@围观群众来打酱油2017-05-2820:57:01　　等你老了想去养老院的时候，会告诉你由于经营的不好，以前的养老院已经倒闭了，还需要你重新拿钱出来办养老院。　　如果你不想拿，就没有保障，就会给社会造成负担，还会引起社会动乱，你就是汉奸，就是美狗、日杂。　　-----------------------------　　穆迪：美国公共养老基金面临2万亿美元缺口　　这是2014年的数据，现在据说是3.8万亿美元的缺口
169,　　@nuonuonuo20162017-05-2821:03:13　　我妈几年前交了近5w，失地农民养老保险，交的时候已经是退休年纪了，所以交进去就好领了，开始的时候一个月1500，现在涨到1600了，我爸也是交了4W还多少，因为年纪没到还在继续交，今年也好领了。。各地政策不一样吧　　-----------------------------　　各地的政策差不多，农民工现在也可以缴纳社保基金，或者通过补缴社保基金的方式，完成对社保基金的贡献。
